user,tweet,date,likes,geo,coordinates,place,user_loc,query
Bedexojini,"RT @FS_Yusuf_: There’s never been a more organic grassroots movement in this country. #OBIDIENTS, I shall continue to tell your story. You…",2022-08-09 17:12:23+00:00,0,,,,,#Obidients
MainLiberty,"RT @GRVlagos: Earlier with my principal. It is time for a different kind of politics, one with ideology, integrity that puts the needs of t…",2022-08-09 17:12:17+00:00,0,,,,,#Obidients
KANULEVI247,"RT @FS_Yusuf_: There’s never been a more organic grassroots movement in this country. #OBIDIENTS, I shall continue to tell your story. You…",2022-08-09 17:12:05+00:00,0,,,,,#Obidients
iamibexs10,"RT @BigBrainEni: My dad said he won't waste his vote on Peter Obi next year because he's less influential compared to Tinubu and Atiki.

I…",2022-08-09 17:11:47+00:00,0,,,,Happy place,#Obidients
chinofranky5,"RT @Commy_Zico: Keep retweeting till everyone gets familiar with the Labour Party Logo. We are getting Peter Obi to Aso Rock come 2023.

Ar…",2022-08-09 17:11:24+00:00,0,,,,"Lagos, Nigeria",#Obidients
Kyrianchuks1,RT @b_wbabangida: Simple Truth!!! #Obidients @firstladyship https://t.co/9k1vxd89jn,2022-08-09 17:11:08+00:00,0,,,,Nigeria,#Obidients
Lothario_12,"RT @FS_Yusuf_: There’s never been a more organic grassroots movement in this country. #OBIDIENTS, I shall continue to tell your story. You…",2022-08-09 17:11:04+00:00,0,,,,World ,#Obidients
PEdokobi,"RT @BigBrainEni: My dad said he won't waste his vote on Peter Obi next year because he's less influential compared to Tinubu and Atiki.

I…",2022-08-09 17:10:31+00:00,0,,,,,#Obidients
GreenCasshy,"RT @TheLegend_01: Please it'll cost 0.00 secs to retweet my artwork. 
#KizzDaniel #Davido #Cheating #Wizkid #Obidients #AriseTV #Omah #Osho…",2022-08-09 17:10:24+00:00,0,,,,Next,#Obidients
CaptainSmashBro,"RT @Hussaeiinii__: Peter Obi will be announced as the President of Federal Republic of Nigeria. No doubt! He is the man for job,at the same…",2022-08-09 17:10:21+00:00,0,,,,,#Obidients
getmotivatedng,"RT @Hussaeiinii__: THE BEST PRESIDENT THAT NIGERIA AND NIGERIANS WILL EVER HAVE! 
Come 2023....

Borno Zulum #EnoughIsEnough
#Obidatti023 #…",2022-08-09 17:10:14+00:00,0,,,,"Media Strategist,Social Media Campaign Strategist, Speech Writer, Communication Expert, Business Promoter",#Obidients
