user,tweet,date,likes,geo,coordinates,place,user_loc,query
Tobenna03352070,RT @ntesat: I am Ijaw fron Andoni (Riverine part) of  Rivers State. If supporting Peter Obi makes me qualify as IPOB according to Reno Omok…,2022-08-09 17:13:04+00:00,0,,,,Nigeria,Peter obi
harrymoore8291,"RT @AdeRazakGold: Can @GovWike make a statement and support Peter Obi. 

Also other disgruntled Governors in the South can support him. 

A…",2022-08-09 17:13:02+00:00,0,,,,"Imo, Nigeria",Peter obi
keleants,"RT @KcUzoka: See what the Peter Obi wave means to the youths in other African countries. 
They know that the giant in Nigeria will awaken w…",2022-08-09 17:13:00+00:00,0,,,,"Kaduna, Nigeria",Peter obi
Az_DayDream,"RT @chikaunigwe: My brother, Peter Obi has always supported the arts. I had an idea ( and connections) for a writers house in Awka. Land wa…",2022-08-09 17:13:00+00:00,0,,,,"Lagos, Nigeria",Peter obi
DEJIxICE,"RT @chikaunigwe: My brother, Peter Obi has always supported the arts. I had an idea ( and connections) for a writers house in Awka. Land wa…",2022-08-09 17:13:00+00:00,0,,,,"Lagos, Nigeria",Peter obi
fhavor_l,"RT @OkoyeCardinal: In 2012, in a bid to encourage writers, Mr Peter Obi donated the sum of 2 million &amp; a plot of land in Awka to Chika Unig…",2022-08-09 17:12:59+00:00,0,,,,"Lagos, Nigeria",Peter obi
daudagerald_,RT @AlRaheemmuhd: Daily Trust newspaper and BBC Hausa are working very hard against Peter Obi in the north. I'm listening to the report of…,2022-08-09 17:12:58+00:00,0,,,,"Ibadan, Nigeria",Peter obi
greenbay4xl,"RT @SadiqMaunde: Peter Obi is like a gold; the more you burn it they more it shines. 

The Nigeria of our dream is POssible.",2022-08-09 17:12:54+00:00,0,,,,Port Harcourt,Peter obi
SeverTrades,"RT @MrSam_UJ: Six lane road from head bridge to linca round about. Initially it was double road, with massive waste scattered all over and…",2022-08-09 17:12:53+00:00,0,,,,"Coventry, England",Peter obi
geeq38,"RT @Jack_ng01: ""People are happy spending their money for Peter Obi""

Where is the lie here? https://t.co/l5TPJauRXn",2022-08-09 17:12:53+00:00,0,,,,Nigeria,Peter obi
blackboy_wonder,"RT @ajagbe__: Congratulations to Peter obi for winning the Twitter President 2023, well deserved 👏",2022-08-09 17:12:50+00:00,0,,,,Mars ,Peter obi
austinuzo0709,"RT @Naija_Activist: @renoomokri Peter Obi is the answer, so say no more.",2022-08-09 17:12:49+00:00,0,,,,,Peter obi
KayodeFoloruns3,RT @AfamDeluxo: Peter Obi has actually won next year's election if we are being honest. The only people between Peter Obi and Aso-rock is @…,2022-08-09 17:12:49+00:00,0,,,,"Lagos, Nigeria",Peter obi
damilare7000,"RT @OkoyeCardinal: In 2012, in a bid to encourage writers, Mr Peter Obi donated the sum of 2 million &amp; a plot of land in Awka to Chika Unig…",2022-08-09 17:12:49+00:00,0,,,,Lagos ,Peter obi
Fazzyfavour,"RT @Girl_isBlessed: Guys, if they pin IPOB issue on Peter Obi, kindly pin Boko Haram on Shetima. You should.

It is a known fact that Sheti…",2022-08-09 17:12:48+00:00,0,,,,"Port Harcourt, Nigeria",Peter obi
Ucijomanta,A VOTE FOR PETER OBI IS A VOTE FOR TINUBU - CHIEF DAN ULASI https://t.co/Kp1bDPltEZ via @YouTube,2022-08-09 17:12:45+00:00,0,,,,,Peter obi
LeonardIBMarc1,RT @firstladyship: 5. We do this not for Peter Obi but for ourselves &amp; our children (born &amp; unborn). We do this because it’s just &amp; divine.…,2022-08-09 17:12:43+00:00,0,,,,worldwide,Peter obi
okwu65946964,"RT @itzz_blitz1: To all Peter obi support groups,
Enough of the meetings, too much talk will amount to nothing if y'all don't wake up. Ente…",2022-08-09 17:12:35+00:00,0,,,,,Peter obi
Nkechin66609904,"RT @Deborahgaji: To the tens of millions of young Nigerians who have spent years marching, rallying, demanding that Nigeria should be great…",2022-08-09 17:12:35+00:00,0,,,,,Peter obi
HeavyMatter2,"RT @IruefiNG: Not everyone gets an audience with the Pope, if you're lucky and very affluent you may meet the Pope once in your entire life…",2022-08-09 17:12:34+00:00,0,,,,,Peter obi
wealth_christy,RT @PO_GrassRoots: Peter Obi will be announced the President of Nigeria come February 2023.,2022-08-09 17:12:32+00:00,0,,,,,Peter obi
BenDiaspora,"HALIMA WAZIRI

""When Peter Obi wins in 2023, the old wound between East and North will be healed permanently. Love will spread across the nation as Peter Obi will be ensured he works for all irrespective of tribe and religion!""
+
Who's this Savannaian goddess and bridge builder? https://t.co/UDbTQ9txw5",2022-08-09 17:12:32+00:00,0,,,,,Peter obi
clintondace,"@Michael66449674 @princezes7 @sirvicbrown @SOCIALTHINKER17 @PeterObi Be shouting Eminoko for shake shake Paaaa

Peter Obi .......we move to better Nigeria https://t.co/GVE8YDS926",2022-08-09 17:12:31+00:00,0,,,,"Lagos, Nigeria",Peter obi
UcheAniEsq,RT @Shehusky: Peter Obi is a man of positive energy. Since I started campaigning for him I’ve been receiving favors and new opportunities.…,2022-08-09 17:12:30+00:00,0,,,,"Lagos, Nigeria",Peter obi
