user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc,sentiment
Tobenna03352070,rt @ntesat: i am ijaw fron andoni (riverine part) of  rivers state. if supporting peter obi makes me qualify as ipob according to reno omok…,2022-08-09 17:13:04+00:00,0,,,,Nigeria,Peter obi,True,unknown,obi_labour,rt @user i am ijaw fron andoni (riverine part) of  rivers state. if supporting peter obi makes me qualify as ipob according to reno omok…,Neutral
harrymoore8291,"rt @aderazakgold: can @govwike make a statement and support peter obi. 

also other disgruntled governors in the south can support him. 

a…",2022-08-09 17:13:02+00:00,0,,,,"Imo, Nigeria",Peter obi,True,imo,obi_labour,"rt @user can @user make a statement and support peter obi. 

also other disgruntled governors in the south can support him. 

a…",Neutral
keleants,"rt @kcuzoka: see what the peter obi wave means to the youths in other african countries. 
they know that the giant in nigeria will awaken w…",2022-08-09 17:13:00+00:00,0,,,,"Kaduna, Nigeria",Peter obi,True,kaduna,obi_labour,"rt @user see what the peter obi wave means to the youths in other african countries. 
they know that the giant in nigeria will awaken w…",Neutral
Az_DayDream,"rt @chikaunigwe: my brother, peter obi has always supported the arts. i had an idea ( and connections) for a writers house in awka. land wa…",2022-08-09 17:13:00+00:00,0,,,,"Lagos, Nigeria",Peter obi,True,lagos,obi_labour,"rt @user my brother, peter obi has always supported the arts. i had an idea ( and connections) for a writers house in awka. land wa…",Positive
DEJIxICE,"rt @chikaunigwe: my brother, peter obi has always supported the arts. i had an idea ( and connections) for a writers house in awka. land wa…",2022-08-09 17:13:00+00:00,0,,,,"Lagos, Nigeria",Peter obi,True,lagos,obi_labour,"rt @user my brother, peter obi has always supported the arts. i had an idea ( and connections) for a writers house in awka. land wa…",Positive
fhavor_l,"rt @okoyecardinal: in 2012, in a bid to encourage writers, mr peter obi donated the sum of 2 million &amp; a plot of land in awka to chika unig…",2022-08-09 17:12:59+00:00,0,,,,"Lagos, Nigeria",Peter obi,True,lagos,obi_labour,"rt @user in 2012, in a bid to encourage writers, mr peter obi donated the sum of 2 million &amp; a plot of land in awka to chika unig…",Neutral
daudagerald_,rt @alraheemmuhd: daily trust newspaper and bbc hausa are working very hard against peter obi in the north. i'm listening to the report of…,2022-08-09 17:12:58+00:00,0,,,,"Ibadan, Nigeria",Peter obi,True,unknown,obi_labour,rt @user daily trust newspaper and bbc hausa are working very hard against peter obi in the north. i'm listening to the report of…,Neutral
greenbay4xl,"rt @sadiqmaunde: peter obi is like a gold; the more you burn it they more it shines. 

the nigeria of our dream is possible.",2022-08-09 17:12:54+00:00,0,,,,Port Harcourt,Peter obi,False,rivers,obi_labour,"rt @user peter obi is like a gold; the more you burn it they more it shines. 

the nigeria of our dream is possible.",Positive
SeverTrades,"rt @mrsam_uj: six lane road from head bridge to linca round about. initially it was double road, with massive waste scattered all over and…",2022-08-09 17:12:53+00:00,0,,,,"Coventry, England",Peter obi,False,unknown,,"rt @user six lane road from head bridge to linca round about. initially it was double road, with massive waste scattered all over and…",Negative
geeq38,"rt @jack_ng01: ""people are happy spending their money for peter obi""

where is the lie here? https://t.co/l5tpjaurxn",2022-08-09 17:12:53+00:00,0,,,,Nigeria,Peter obi,True,unknown,obi_labour,"rt @user ""people are happy spending their money for peter obi""

where is the lie here? http",Neutral
blackboy_wonder,"rt @ajagbe__: congratulations to peter obi for winning the twitter president 2023, well deserved 👏",2022-08-09 17:12:50+00:00,0,,,,Mars ,Peter obi,False,unknown,obi_labour,"rt @user congratulations to peter obi for winning the twitter president 2023, well deserved 👏",Positive
austinuzo0709,"rt @naija_activist: @renoomokri peter obi is the answer, so say no more.",2022-08-09 17:12:49+00:00,0,,,,,Peter obi,False,unknown,obi_labour,"rt @user @user peter obi is the answer, so say no more.",Neutral
KayodeFoloruns3,rt @afamdeluxo: peter obi has actually won next year's election if we are being honest. the only people between peter obi and aso-rock is @…,2022-08-09 17:12:49+00:00,0,,,,"Lagos, Nigeria",Peter obi,True,lagos,obi_labour,rt @user peter obi has actually won next year's election if we are being honest. the only people between peter obi and aso-rock is @user,Neutral
damilare7000,"rt @okoyecardinal: in 2012, in a bid to encourage writers, mr peter obi donated the sum of 2 million &amp; a plot of land in awka to chika unig…",2022-08-09 17:12:49+00:00,0,,,,Lagos ,Peter obi,False,lagos,obi_labour,"rt @user in 2012, in a bid to encourage writers, mr peter obi donated the sum of 2 million &amp; a plot of land in awka to chika unig…",Neutral
Fazzyfavour,"rt @girl_isblessed: guys, if they pin ipob issue on peter obi, kindly pin boko haram on shetima. you should.

it is a known fact that sheti…",2022-08-09 17:12:48+00:00,0,,,,"Port Harcourt, Nigeria",Peter obi,True,rivers,obi_labour,"rt @user guys, if they pin ipob issue on peter obi, kindly pin boko haram on shetima. you should.

it is a known fact that sheti…",Neutral
Ucijomanta,a vote for peter obi is a vote for tinubu - chief dan ulasi https://t.co/kp1bdpltez via @youtube,2022-08-09 17:12:45+00:00,0,,,,,Peter obi,False,unknown,obi_labour,a vote for peter obi is a vote for tinubu - chief dan ulasi http via @user,Neutral
LeonardIBMarc1,rt @firstladyship: 5. we do this not for peter obi but for ourselves &amp; our children (born &amp; unborn). we do this because it’s just &amp; divine.…,2022-08-09 17:12:43+00:00,0,,,,worldwide,Peter obi,False,unknown,obi_labour,rt @user 5. we do this not for peter obi but for ourselves &amp; our children (born &amp; unborn). we do this because it’s just &amp; divine.…,Positive
okwu65946964,"rt @itzz_blitz1: to all peter obi support groups,
enough of the meetings, too much talk will amount to nothing if y'all don't wake up. ente…",2022-08-09 17:12:35+00:00,0,,,,,Peter obi,False,unknown,obi_labour,"rt @user to all peter obi support groups,
enough of the meetings, too much talk will amount to nothing if y'all don't wake up. ente…",Negative
Nkechin66609904,"rt @deborahgaji: to the tens of millions of young nigerians who have spent years marching, rallying, demanding that nigeria should be great…",2022-08-09 17:12:35+00:00,0,,,,,Peter obi,False,unknown,,"rt @user to the tens of millions of young nigerians who have spent years marching, rallying, demanding that nigeria should be great…",Neutral
