user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc,sentiment
jimmy_seer,"rt @gazettengr: peter obi appoints army spokesman who claimed lekki massacre was photoshopped as campaign member

https://t.co/cbber0thjc",2022-10-13 16:41:52+00:00,0,,,,"Lagos, Nigeria",Peter obi,True,lagos,obi_labour,"rt @user peter obi appoints army spokesman who claimed lekki massacre was photoshopped as campaign member

https://t.co/cbber0thjc",Negative
01gX439m2SvGo0,"rt @muchtalksblog1: am not happy right now😡,  honestly if i knew @peterobi would have picked john enenche among his campaign team, i wouldn…",2022-10-13 16:41:52+00:00,0,,,,,Peter obi,False,unknown,obi_labour,"rt @user am not happy right now😡,  honestly if i knew @user would have picked john enenche among his campaign team, i wouldn…",Negative
samuelotus34,"rt @davidhundeyin: i support peter obi because i believe in his mission and candidacy.

i also believe that anyone directly involved in lek…",2022-10-13 16:41:52+00:00,0,,,,United Arab Emirates,Peter obi,False,unknown,obi_labour,"rt @user i support peter obi because i believe in his mission and candidacy.

i also believe that anyone directly involved in lek…",Positive
AbdulMahmud01,"when i called out the figures that separated wike and atiku same name-calling followed.
when i blithely suggested (with biblical reference to ""peter, in your name will the church be built"") that obi's future was elsewhere, i was cursed.",2022-10-13 16:41:52+00:00,0,,,,"Farnham Royal, England",Peter obi,False,unknown,obi_labour,"when i called out the figures that separated wike and atiku same name-calling followed.
when i blithely suggested (with biblical reference to ""peter, in your name will the church be built"") that obi's future was elsewhere, i was cursed.",Negative
AnthonyGodspee1,"rt @yahaya_iv: i get the resentment, but, what is the point of campaigning when we're not ready to take in the new converts?
when we put up…",2022-10-13 16:41:51+00:00,0,,,,,Peter obi,False,unknown,,"rt @user i get the resentment, but, what is the point of campaigning when we're not ready to take in the new converts?
when we put up…",Negative
cobymourinho,"rt @jerrynwanorim: @editieffiong we can provide feedback and show disapproval, and that's fine. but, the moment i see ""he'd lose my support…",2022-10-13 16:41:51+00:00,0,,,,"Calabar, Nigeria ",Peter obi,True,unknown,,"rt @user @user we can provide feedback and show disapproval, and that's fine. but, the moment i see ""he'd lose my support…",Neutral
Oluwadollar246,"rt @aprokoking: see wetin obidients do for ican today 🤣🤣🤣🤣🤣🤣🤣
pls vote lp ( labour party)
pls vote peter obi &amp; dr yusuf datti 
pls vote new…",2022-10-13 16:41:50+00:00,0,,,,,Peter obi,False,unknown,obi_labour,"rt @user see wetin obidients do for ican today 🤣🤣🤣🤣🤣🤣🤣
pls vote lp ( labour party)
pls vote peter obi &amp; dr yusuf datti 
pls vote new…",Neutral
toxic_fc__,"rt @ajebodanny: after seeing john enenche, an army spokesman on the labour party campaign council, i now regret the way i have supported pe…",2022-10-13 16:41:50+00:00,0,,,,Port Harcourt,Peter obi,False,rivers,obi_labour,"rt @user after seeing john enenche, an army spokesman on the labour party campaign council, i now regret the way i have supported pe…",Negative
KelechiPhD,"which man, @egi_nupe_ ? did peter obi draw up every person in the list of 1000 people? atiku directly appointed @bwaladaniel a lekki massacre denier and someone who rejoiced over the twitter ban as campaign spokesman.

have you sworn that atiku goofed, @egi_nupe_ ? https://t.co/o4axwcbtc6 https://t.co/xj4bglvmaq",2022-10-13 16:41:50+00:00,0,,,,"New York, USA",Peter obi,False,unknown,obi_labour,"which man, @user ? did peter obi draw up every person in the list of 1000 people? atiku directly appointed @user a lekki massacre denier and someone who rejoiced over the twitter ban as campaign spokesman.

have you sworn that atiku goofed, @user ? http http",Neutral
OlusegunMLawal1,rt @ajebodanny: isn’t the point of campaigning to convince more people to join your camp? the army spokesman has joined peter obi’s camp be…,2022-10-13 16:41:49+00:00,0,,,,,Peter obi,False,unknown,obi_labour,rt @user isn’t the point of campaigning to convince more people to join your camp? the army spokesman has joined peter obi’s camp be…,Neutral
YoungEmmanuelJ,rt @iruefing: if you are going to vote peter obi and labour party regardless of who is on his pcc let me see the likes and retweets immedia…,2022-10-13 16:41:49+00:00,0,,,,,Peter obi,False,unknown,obi_labour,rt @user if you are going to vote peter obi and labour party regardless of who is on his pcc let me see the likes and retweets immedia…,Neutral
