user,tweet,date,likes,geo,coordinates,place,user_loc,query
Yemife96,RT @mindset_tweet: Those that love Bola Tinubu should go and collect their APV APC card and Vote for him!,2022-11-26 16:50:39+00:00,0,,,,"Lagos, Nigeria",bola tinubu
HIGHSTAR27,RT @VictorIsrael_: Wow! This is so beautiful. Everyone who came to stand in solidarity with Asiwaju Bola Tinubu and Shettima at the Teslim…,2022-11-26 16:50:38+00:00,0,,,,Worldwide. ,bola tinubu
Orakwuegodfrey1,"RT @Kna_th: Go and get your APV APC and you must vote.😂😂😂

Truly, Asiwaju Bola Ahmed Tinubu’s health is suffering from MUL-TI-LI-PI-CATION…",2022-11-26 16:50:37+00:00,0,,,,"Port Harcourt, Nigeria",bola tinubu
Ekwere_Deus,"RT @DejiOluwatobi: If anybody in this world would denigrate the painstaking heights Peter Obi has achieved in his life, it's not Asiwaju Bo…",2022-11-26 16:50:36+00:00,0,,,,God's Hand ,bola tinubu
samkizz_elenu,"RT @Nzube_Agbo: When Kenneth Okonkwo said that Asiwaju Bola Ahmed Tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:36+00:00,0,,,,"Lagos, Nigeria",bola tinubu
Josiahidam,RT @mavisikpeme: Asiwaju Bola Ahmed Tinubu should prove lagos is for APV APC by allowing Peter Obi launch his lagos campaign in the same Te…,2022-11-26 16:50:34+00:00,0,,,,locate me if you can😊,bola tinubu
HoneyteeG,"RT @DeeOneAyekooto: ""Bola son of Tinubu, Lion the son of Asabi....."" https://t.co/2gII0AdRO3",2022-11-26 16:50:33+00:00,0,,,,"Ado Ekiti, Nigeria",bola tinubu
loyalBATvotary,"RT @DavidsOffor: If you love Asiwaju Bola Ahmed Tinubu,go and get your PVC now!!!!

Vote wisely!!",2022-11-26 16:50:32+00:00,0,,,,"Lagos, Nigeria",bola tinubu
GAZZYOLA,"RT @officialjandor: Today, markets across Lagos have been forced to close with all Traders mandated by Governor Sanwoolu government, to att…",2022-11-26 16:50:30+00:00,0,,,,far away,bola tinubu
PMSkukz,RT @mindset_tweet: Those that love Bola Tinubu should go and collect their APV APC card and Vote for him!,2022-11-26 16:50:29+00:00,0,,,,🌐 GLOBAL,bola tinubu
loyalBATvotary,"RT @EleluAyoola: Today in Lagos. 

It is a MUST for me to vote for Asiwaju Bola Ahmed Tinubu. I have my PVC.
♾️♾️♾️ https://t.co/UeKaKGbZRQ",2022-11-26 16:50:29+00:00,0,,,,"Lagos, Nigeria",bola tinubu
Ifeanyi80640776,"RT @Nzube_Agbo: When Kenneth Okonkwo said that Asiwaju Bola Ahmed Tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:28+00:00,0,,,,Nigeria,bola tinubu
Femiotunba1,"RT @BashirAhmaad: The arrival of our presidential candidate, Asiwaju Bola Tinubu at the Teslim Balogun Stadium for his Lagos presidential r…",2022-11-26 16:50:25+00:00,0,,,,"Lagos, Nigeria",bola tinubu
mojoe_247,RT @OOlusore: Bola Tinubu chose a Muslim-Muslim Ticket with the current situation of NIGERIA and you are PAINED that Peter Obi (Labour Part…,2022-11-26 16:50:24+00:00,0,,,,"Benin City, Edo State, Nigeria",bola tinubu
PaulAkugbe,"RT @officialjandor: Today, markets across Lagos have been forced to close with all Traders mandated by Governor Sanwoolu government, to att…",2022-11-26 16:50:23+00:00,0,,,,,bola tinubu
Dampics,"RT @Mr_JAGs: TINUBU O’CLOCK 

The exact Moment (12:46pm) Asiwaju Bola Ahmed Tinubu got in at the Teslim Balogun Stadium … Electrifying  🔥🔥🔥…",2022-11-26 16:50:20+00:00,0,,,,"Oyo, Nigeria",bola tinubu
FutureMarsian,"RT @Makavelli275: “The national chairman was almost painted like a pancake in God’s ears”-Bola Ahmed Tinubu, Nov. 26th, 2022. https://t.co/…",2022-11-26 16:50:16+00:00,0,,,,"Abakaliki, Nigeria",bola tinubu
olubenx10,"RT @StFreakingKezy: Senator Oluremi Tinubu (Wife)dey Calabar, Asiwaju Bola Ahmed Tinubu (husband) dey Lagos... 

  Blessed home 🥰",2022-11-26 16:50:15+00:00,0,,,,"Lagos, Nigeria",bola tinubu
omomummynoni,"RT @OhinoyiRay1: Meet the Chief Of Staff to Kogi State Governor @Pharm_Asuku. The young and energetic leader is fully #Jagaban. 

Kogi Stat…",2022-11-26 16:50:15+00:00,0,,,,"Lagos, Nigeria",bola tinubu
Axel51828776,"RT @DeeOneAyekooto: ""Bola son of Tinubu, Lion the son of Asabi....."" https://t.co/2gII0AdRO3",2022-11-26 16:50:14+00:00,0,,,,,bola tinubu
vinzelwalt,"RT @officialjandor: Today, markets across Lagos have been forced to close with all Traders mandated by Governor Sanwoolu government, to att…",2022-11-26 16:50:11+00:00,0,,,,,bola tinubu
PIUSDANIEL,"RT @Nzube_Agbo: When Kenneth Okonkwo said that Asiwaju Bola Ahmed Tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:11+00:00,0,,,,,bola tinubu
idestjood,"RT @UnlimitedEniola: Go and take APV and vote for me- Says Tinubu.
  Just small mistake noticed today because Bola Tinubu spoke mainly in Y…",2022-11-26 16:50:10+00:00,0,,,,"Lagos, Nigeria",bola tinubu
Emman93151732,RT @mindset_tweet: Those that love Bola Tinubu should go and collect their APV APC card and Vote for him!,2022-11-26 16:50:09+00:00,0,,,,,bola tinubu
ConteBTCmine,RT @OOlusore: Bola Tinubu chose a Muslim-Muslim Ticket with the current situation of NIGERIA and you are PAINED that Peter Obi (Labour Part…,2022-11-26 16:50:06+00:00,0,,,,,bola tinubu
TripDarlinq,"RT @mindset_tweet: Dear Donald Duke,

Bola Tinubu did not only use your Picture for his documentary, but he also used it in his autobiograp…",2022-11-26 16:50:06+00:00,0,,,,"Ibadan,Nigeria",bola tinubu
tunjiotufadebo1,"RT @officialjandor: Today, markets across Lagos have been forced to close with all Traders mandated by Governor Sanwoolu government, to att…",2022-11-26 16:50:05+00:00,0,,,,"Lagos, Nigeria",bola tinubu
Ade4liver,"RT @Mr_JAGs: TODAY IN LAGOS for ASIWAJU BOLA AHMED TINUBU @officialABAT and @jidesanwoolu 

E SOAK !!!!! 🔥🔥🔥🙏🏽

#BAT2023 

#TINUBU2023 http…",2022-11-26 16:50:04+00:00,0,,,,"Lagos,nigeria",bola tinubu
Orakwuegodfrey1,"RT @Nzube_Agbo: When Kenneth Okonkwo said that Asiwaju Bola Ahmed Tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:01+00:00,0,,,,"Port Harcourt, Nigeria",bola tinubu
CalabarPrince,"RT @michael_belex: ""Go and take your APV APC and you must vote""

Today's banger 😂🤣😂

• Manifesto • Gistlover • Rufai • Asiwaju Bola Ahmed T…",2022-11-26 16:50:01+00:00,0,,,,LAG \ CAL \ SA,bola tinubu
