user,tweet,date,likes,geo,coordinates,place,user_loc,query
tony_Etimimoh,"RT @PhilipEkomenmen: @PeterObi I want to be a Nigerian, not too much to ask. 2023 is our hands 👐. #Obidatti023 https://t.co/jIGfKvhbUk",2022-11-26 16:25:12+00:00,0,,,,"Uyo, Nigeria",#Obidatti023
NONISONCHINONSO,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:24:35+00:00,0,,,,Nigeria,#Obidatti023
etimbassey235,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:24:28+00:00,0,,,,Nigeria,#Obidatti023
seun_oyenuga,"RT @Chuks_Eric_: Another banger from @officialABAT 😂 
Do you love me ? 
Go and get your APV,APC 
AND YOU MUST VOTE LOLS 😂 
#PeterObi4Presid…",2022-11-26 16:24:00+00:00,0,,,,,#Obidatti023
judeorazulike,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:21:28+00:00,0,,,,Lagos~Paris~Zurich,#Obidatti023
ChibuikePI,"RT @obijamesuk: Last night. Just because I'm OBI-diently hopeful for #Nigeria, all thanks to our @PeterObi. #leadership #letgoleadership #O…",2022-11-26 16:21:10+00:00,0,,,,ArsenalFC,#Obidatti023
ChigbooEmmanuel,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:19:34+00:00,0,,,,,#Obidatti023
OkekePatrick,"RT @d_kenzo_: When APC promised to provide 30 million jobs for the youths, this is what they meant😭 How much is fuel per liter at your area…",2022-11-26 16:18:58+00:00,0,,,,"Lagos State, Nigeria.",#Obidatti023
Vasquezcarmen91,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:17:57+00:00,0,,,,"Utah, USA",#Obidatti023
Bigoleak,"RT @Chuks_Eric_: Another banger from @officialABAT 😂 
Do you love me ? 
Go and get your APV,APC 
AND YOU MUST VOTE LOLS 😂 
#PeterObi4Presid…",2022-11-26 16:16:26+00:00,0,,,,,#Obidatti023
jeffreychibueze,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:16:17+00:00,0,,,,Planet X,#Obidatti023
brymohardezhile,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:16:11+00:00,0,,,,"Oyo, Nigeria",#Obidatti023
ChibuikePI,RT @obijamesuk: Have you got your PVC?  #Obidatti023,2022-11-26 16:15:45+00:00,0,,,,ArsenalFC,#Obidatti023
edehfelixc1,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:15:37+00:00,0,,,,@the land of the free ,#Obidatti023
Nwaokolo5Victor,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:15:08+00:00,0,,,,,#Obidatti023
OsnonMichael,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:15:01+00:00,0,,,,Jos plateau state Nigeria,#Obidatti023
surifoll,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:14:55+00:00,0,,,,Nigeria,#Obidatti023
benjamin_orie,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:14:27+00:00,0,,,,"Lagos, Nigeria",#Obidatti023
EdogaChux,"RT @Chuks_Eric_: Another banger from @officialABAT 😂 
Do you love me ? 
Go and get your APV,APC 
AND YOU MUST VOTE LOLS 😂 
#PeterObi4Presid…",2022-11-26 16:14:09+00:00,0,,,,Enugu,#Obidatti023
chisomdestiny32,"RT @Chuks_Eric_: Another banger from @officialABAT 😂 
Do you love me ? 
Go and get your APV,APC 
AND YOU MUST VOTE LOLS 😂 
#PeterObi4Presid…",2022-11-26 16:12:32+00:00,0,,,,,#Obidatti023
mevanduchi,RT @JaypeeGeneral: They said we only make noise on social media but we have shown them that Obidients are not bots! We are human beings! We…,2022-11-26 16:12:10+00:00,0,,,,Gidi,#Obidatti023
