user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
flourishjem,rt @jgoldmonye: handing over nigeria to atiku or tinubu is like handing over an antelope to a hungry lion. handing nigeria over to peter ob…,2023-01-06 23:59:59+00:00,0,,,,Nigeria,Peter obi,True,unknown,obi_labour,rt @user handing over nigeria to atiku or tinubu is like handing over an antelope to a hungry lion. handing nigeria over to peter ob…
ke_omokaro,rt @obidienttvhq: peter obi is appealing to you to go and collect your pvc. it is your civic power to vote and decide who your next preside…,2023-01-06 23:59:57+00:00,0,,,,,Peter obi,False,unknown,obi_labour,rt @user peter obi is appealing to you to go and collect your pvc. it is your civic power to vote and decide who your next preside…
NtonySt22,rt @firstladyship: peter obi is now the commander in chief of the nigerian armed forces? he is now the chief security officer of the south…,2023-01-06 23:59:56+00:00,0,,,,,Peter obi,False,unknown,obi_labour,rt @user peter obi is now the commander in chief of the nigerian armed forces? he is now the chief security officer of the south…
ke_omokaro,rt @jaypeegeneral: grassroot evangelism for peter obi in bauchi state. i am happy to see patriotic nigerians going above and beyond to camp…,2023-01-06 23:59:51+00:00,0,,,,,Peter obi,False,unknown,obi_labour,rt @user grassroot evangelism for peter obi in bauchi state. i am happy to see patriotic nigerians going above and beyond to camp…
Jeff__Banky,rt @topboychriss: information reaching me now is that ifeanyi judas okowa is denying peter obi access to government facilities to campaign…,2023-01-06 23:59:47+00:00,0,,,,,Peter obi,False,unknown,obi_labour,rt @user information reaching me now is that ifeanyi judas okowa is denying peter obi access to government facilities to campaign…
anodavitamin,@saharareporters thank god for bringing peter obi oo just imagine us choosing between these two evil on us god abeg oo,2023-01-06 23:59:46+00:00,89,,,,"Federal Capital Territory, Nig",Peter obi,False,abuja,obi_labour,@user thank god for bringing peter obi oo just imagine us choosing between these two evil on us god abeg oo
Emmalex_8,rt @waleone: i am not igbo. i am a full-blooded yoryba man with a pvc that will be deployed effectively to vote for peter obi on 25:02:2023…,2023-01-06 23:59:43+00:00,0,,,,,Peter obi,False,unknown,obi_labour,rt @user i am not igbo. i am a full-blooded yoryba man with a pvc that will be deployed effectively to vote for peter obi on 25:02:2023…
tony2charles,"rt @omoelerinjare: ""when we came on board, no library, no sick bay, and no laboratory; we have spent 10 billion naira for education turnaro…",2023-01-06 23:59:41+00:00,0,,,,,Peter obi,False,unknown,,"rt @user ""when we came on board, no library, no sick bay, and no laboratory; we have spent 10 billion naira for education turnaro…"
micky_igwe,"rt @firstladyship: “vote for me not because i am igbo from the south east, but because i am the most qualified candidate for the job.”

— p…",2023-01-06 23:59:41+00:00,0,,,,"Lagos, Nigeria",Peter obi,True,lagos,,"rt @user “vote for me not because i am igbo from the south east, but because i am the most qualified candidate for the job.”

— p…"
MaziBelieve,"rt @po_grassrootm: dear governor gov okowa, denying labour party the use of public facilities in your state will not change the fact that y…",2023-01-06 23:59:41+00:00,0,,,,Unknown,Peter obi,False,unknown,obi_labour,"rt @user dear governor gov okowa, denying labour party the use of public facilities in your state will not change the fact that y…"
da_apostle,"rt @omoelerinjare: ""since i left anambra state as governor 9 years ago, either directly or indirectly anambra state has not paid me #1 as p…",2023-01-06 23:59:41+00:00,0,,,,,Peter obi,False,unknown,,"rt @user ""since i left anambra state as governor 9 years ago, either directly or indirectly anambra state has not paid me #1 as p…"
flourishjem,rt @ucheorji13: there is nothing left to share. nigeria is down on her knees. fg debts is 77 trillion.  sub-nationals is 5.8 trillion. nige…,2023-01-06 23:59:38+00:00,0,,,,Nigeria,Peter obi,True,unknown,,rt @user there is nothing left to share. nigeria is down on her knees. fg debts is 77 trillion.  sub-nationals is 5.8 trillion. nige…
