user,tweet,date,likes,geo,coordinates,place,user_loc,query
EmmySantinho,"RT @NonsoObidi: Daniel Bwala, @BwalaDaniel was in arise TV show this morning. 
Mentioned Atiku Abubakar once
Mentioned Tinubu thrice
Mentio…",2023-01-06 23:58:38+00:00,0,,,,,Atiku abubakar
Deen_______Yaro,"RT @Chief__Adam: “ I want to publicly thank Your Excellency, Atiku Abubakar, because without that journey and helping my destiny, I actuall…",2023-01-06 23:57:52+00:00,0,,,,Farakwai,Atiku abubakar
PeterChimaobi2,"RT @NonsoObidi: Daniel Bwala, @BwalaDaniel was in arise TV show this morning. 
Mentioned Atiku Abubakar once
Mentioned Tinubu thrice
Mentio…",2023-01-06 23:57:02+00:00,0,,,,"Limerick, Ireland",Atiku abubakar
jayson_eyeballs,"RT @Triplenetmedia: *Senator Abubakar Atiku Bagudu, CON, Governor Kebbi State celebrates son who graduated with a First Class, at the 17th…",2023-01-06 23:56:51+00:00,0,,,,Hogwarts ,Atiku abubakar
PolitrackNg,"RT @NonsoObidi: Daniel Bwala, @BwalaDaniel was in arise TV show this morning. 
Mentioned Atiku Abubakar once
Mentioned Tinubu thrice
Mentio…",2023-01-06 23:55:03+00:00,0,,,,🇬🇧🇳🇬,Atiku abubakar
oba_jaiye,"RT @AjenePeter: All the atikulated family u can DM me for sponsorship come one come all.

Atiku Abubakar the name that supercede North Sout…",2023-01-06 23:53:54+00:00,0,,,,,Atiku abubakar
donsmart_Ogamba,"RT @NonsoObidi: Daniel Bwala, @BwalaDaniel was in arise TV show this morning. 
Mentioned Atiku Abubakar once
Mentioned Tinubu thrice
Mentio…",2023-01-06 23:52:37+00:00,0,,,,,Atiku abubakar
countrybouy1,"RT @ArewaLady01: BREAKING NEWS!
This is how INEC will Announce the February Election Results🇳🇬
1, @PeterObi of LP ++ 20,872,249 votes
2, Bo…",2023-01-06 23:51:19+00:00,0,,,,"Abuja, Nigeria",Atiku abubakar
sire_gabriel,"RT @NonsoObidi: Daniel Bwala, @BwalaDaniel was in arise TV show this morning. 
Mentioned Atiku Abubakar once
Mentioned Tinubu thrice
Mentio…",2023-01-06 23:50:12+00:00,0,,,,"London, England",Atiku abubakar
iamAlfredevans7,"RT @TYBabatunde: What We saw in Oyo state yesterday is a vote of confidence on our incoming President,  Atiku Abubakar. The people made it…",2023-01-06 23:49:44+00:00,0,,,,,Atiku abubakar
Deen_______Yaro,"RT @WachorZ: ATIKU IS COMING...

If you don't like Atiku Abubakar for other reasons, just say so, but stop hiding behind Competence and sui…",2023-01-06 23:48:36+00:00,0,,,,Farakwai,Atiku abubakar
FikayomiAkinde1,"RT @Triplenetmedia: *Senator Abubakar Atiku Bagudu, CON, Governor Kebbi State celebrates son who graduated with a First Class, at the 17th…",2023-01-06 23:46:48+00:00,0,,,,,Atiku abubakar
