user,tweet,date,likes,geo,coordinates,place,user_loc,query
OG_Dreamville,RT @AWaziri7: A revolution started in Kebbi State today with The #BalaParisInKebbi visit to kickstart the #RecoverNigeria process of the #A…,2023-01-06 23:59:34+00:00,0,,,,"Dreamville, Nigeria",#AtikuOkowa2023
Rasheethe,RT @AWaziri7: A revolution started in Kebbi State today with The #BalaParisInKebbi visit to kickstart the #RecoverNigeria process of the #A…,2023-01-06 23:56:44+00:00,0,,,,Nigeria,#AtikuOkowa2023
forlarby,PDAPC in the mud 🤣😃🤣😃 #AtikuOkowa2023  #PeterObiForPresident #TinubuMeetsYouths https://t.co/ytORsKb9Ko,2023-01-06 23:43:33+00:00,1,,,,,#AtikuOkowa2023
Rasheethe,RT @UBando001: A revolution started in Kebbi State today with The #BalaParisInKebbi visit to kickstart the #RecoverNigeria process of the #…,2023-01-06 23:40:33+00:00,0,,,,Nigeria,#AtikuOkowa2023
juyi7,"#AtikuOkowa2023  for a selfless act of sponsoring a bill in 2003 by Mrs titi atiku abubakar,the VAP law and childs rights act was passed, #Naptip is in existence protecting so many women and children. https://t.co/Epe22U9Jd6",2023-01-06 23:26:13+00:00,1,,,,nigeria,#AtikuOkowa2023
AhmadAbdallahY1,RT @MikanoLeader: Kangiwa in Kebbi State today experienced another invasion of the #BalaParisInKebbi movements grassroots mobilization when…,2023-01-06 23:13:14+00:00,0,,,,,#AtikuOkowa2023
JamesKamale,RT @jrnaib2: The Brain-Boxes Behind Atiku’s Victory in the Presidential Primaries of the PDP 🤩 #AtikuOkowa2023 https://t.co/C57KXhSTrV,2023-01-06 23:12:49+00:00,0,,,,"Federal Capital Territory, Nig",#AtikuOkowa2023
Chief__Adam,RT @JPenshior: A revolution started in Kebbi State today with The #BalaParisInKebbi visit to kickstart the #RecoverNigeria process of the #…,2023-01-06 23:09:38+00:00,0,,,,"Federal Capital Territory, Nig",#AtikuOkowa2023
officialamaster,"My President in Plateau State 🔥 💪
@atiku @LailaAtiku @AdamuAtikuA @AAsupportOrg @abdullahiisha25 @abbalala3 @Titi_Atiku @SA_Gender_Atiku @AtikuLive @AtikuNakowa2023 #AtikuOkowa2023 #AtikuOkowa #Atiku #NigeriaDecides2023 #NigeriaPresidential #RecoverNigeria https://t.co/LkYHKgLAhr",2023-01-06 23:09:08+00:00,3,,,"Place(_api=<tweepy.api.API object at 0x113478e48>, id='004eba9d6293467f', url='https://api.twitter.com/1.1/geo/id/004eba9d6293467f.json', place_type='admin', name='Plateau', full_name='Plateau, Nigeria', country_code='NG', country='Nigeria', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x113478e48>, type='Polygon', coordinates=[[[8.5544183, 8.3456921], [10.6795862, 8.3456921], [10.6795862, 10.3924791], [8.5544183, 10.3924791]]]), attributes={})","Kano, Nigeria",#AtikuOkowa2023
Anas_YD_Lawan,RT @officialamaster: I don't think there's any other candidate like My President in Nigeria @atiku. #AtikuOkowa2023 #Atiku https://t.co/1Tb…,2023-01-06 22:59:58+00:00,0,,,,Yobe..Nigeria ,#AtikuOkowa2023
