user,tweet,date,likes,geo,coordinates,place,user_loc,query
JamesofBadagry,"RT @JamesofBadagry: Their faces thats how you know its organic

#BATSHET2023 #BATKSM2023 https://t.co/CI1mHyPOz7",2023-01-06 23:34:55+00:00,0,,,,Nigeria,#BATSHET2023
Midd7eChi7d,"@PeterObi Thank you for the public announcement we didn't pay for....😁

We have our PVC ready to vote the one and only candidate, Asiwaju Bola Ahmed Tinubu. #BATSHET2023 😎",2023-01-06 15:39:59+00:00,6,,,,"Lat. 10° 00' N, Long. 8° 00' E",#BATSHET2023
ophnx_,"@AlRaheemmuhd Hmmm

#PeterObi4President2023 @PeterObi @atiku @OfficialAPCNg @OfficialPDPNig #theguyalbum @MBuhari @officialABAT #BATSHET2023 #Obidatti2023 #AtikuOkowa2023 #CNN #FoxNews #skynews #Trump #Asake #FireBoy @elonmusk #obidientmovement #Obidients #Obidient #NigeriaDecides2023 #Nigeria",2023-01-06 14:44:38+00:00,0,,,,,#BATSHET2023
ophnx_,"@AlRaheemmuhd Hmmm

#PeterObi4President2023 @PeterObi @atiku @OfficialAPCNg @OfficialPDPNig #theguyalbum @MBuhari @officialABAT #BATSHET2023 #Obidatti2023 #AtikuOkowa2023 #CNN #FoxNews #skynews #Trump #Asake #FireBoy @elonmusk #obidientmovement #Obidients #Obidient #NigeriaDecides2023 #Nigeria",2023-01-06 14:08:38+00:00,0,,,,,#BATSHET2023
Gboyehne,Fully set for the general election... #BATSHET2023 💯% https://t.co/2sdyngJQtt,2023-01-06 11:56:00+00:00,0,,,,"Abuja, Nigeria",#BATSHET2023
MasudYusufN,RT @Mucktey: #BatShet2023 ♾ 🥳,2023-01-05 18:40:52+00:00,0,,,,"Maiduguri, Nigeria",#BATSHET2023
ophnx_,"@etok_nelson @PeterObi Hmmm

#PeterObi4President2023 @PeterObi @atiku @OfficialAPCNg @OfficialPDPNig #theguyalbum @MBuhari @officialABAT #BATSHET2023 #Obidatti2023 #AtikuOkowa2023 #CNN #FoxNews #skynews #Trump #Asake #FireBoy @elonmusk #obidientmovement #Obidients #Obidient #NigeriaDecides2023 #Nigeria",2023-01-05 15:17:47+00:00,0,,,,,#BATSHET2023
ophnx_,"@MADUKASOPULU @etok_nelson @PeterObi Hmmm

#PeterObi4President2023 @PeterObi @atiku @OfficialAPCNg @OfficialPDPNig #theguyalbum @MBuhari @officialABAT #BATSHET2023 #Obidatti2023 #AtikuOkowa2023 #CNN #FoxNews #skynews #Trump #Asake #FireBoy @elonmusk #obidientmovement #Obidients #Obidient #NigeriaDecides2023 #Nigeria",2023-01-05 15:17:06+00:00,0,,,,,#BATSHET2023
ophnx_,"@MoghaluKingsley Hmmm

#PeterObi4President2023 @PeterObi @atiku @OfficialAPCNg @OfficialPDPNig #theguyalbum @MBuhari @officialABAT #BATSHET2023 #Obidatti2023 #AtikuOkowa2023 #CNN #FoxNews #skynews #Trump #Asake #FireBoy @elonmusk #obidientmovement #Obidients #Obidient #NigeriaDecides2023 #Nigeria",2023-01-05 14:39:26+00:00,0,,,,,#BATSHET2023
ophnx_,"@HeisBriggs @BrymOlawale Hmmm

#PeterObi4President2023 @PeterObi @atiku @OfficialAPCNg @OfficialPDPNig #theguyalbum @MBuhari @officialABAT #BATSHET2023 #Obidatti2023 #AtikuOkowa2023 #CNN #FoxNews #skynews #Trump #Asake #FireBoy @elonmusk #obidientmovement #Obidients #Obidient #NigeriaDecides2023 #Nigeria",2023-01-05 12:28:10+00:00,0,,,,,#BATSHET2023
