user,tweet,date,likes,geo,coordinates,place,user_loc,query
OG_Dreamville,RT @AWaziri7: A revolution started in Kebbi State today with The #BalaParisInKebbi visit to kickstart the #RecoverNigeria process of the #A…,2023-01-06 23:59:34+00:00,0,,,,"Dreamville, Nigeria",#RecoverNigeria
OgboduOnome,"RT @missolabisi1: APC is a party focused majorly on opposition duties and no iota of idea as to governance.

PDP is the party of Growth and…",2023-01-06 23:58:27+00:00,0,,,,Milky way galaxy,#RecoverNigeria
Rasheethe,RT @AWaziri7: A revolution started in Kebbi State today with The #BalaParisInKebbi visit to kickstart the #RecoverNigeria process of the #A…,2023-01-06 23:56:44+00:00,0,,,,Nigeria,#RecoverNigeria
muhammedaff,RT @gentleojay: Listen to @akin_adesina president of African development bank recount how Atiku helped him become president of the bank.Thi…,2023-01-06 23:50:12+00:00,0,,,,Nigeria,#RecoverNigeria
iamAlfredevans7,"RT @TYBabatunde: What We saw in Oyo state yesterday is a vote of confidence on our incoming President,  Atiku Abubakar. The people made it…",2023-01-06 23:49:44+00:00,0,,,,,#RecoverNigeria
Rasheethe,RT @UBando001: A revolution started in Kebbi State today with The #BalaParisInKebbi visit to kickstart the #RecoverNigeria process of the #…,2023-01-06 23:40:33+00:00,0,,,,Nigeria,#RecoverNigeria
BlakGold9,"RT @DareGlintstone: Thank you APC. There won't be another CHANCE. 

Never Again. Only PDP can #RecoverNigeria

VOTE PDP, for a debt free Ni…",2023-01-06 23:32:19+00:00,0,,,,,#RecoverNigeria
ArimobiMiracle,"RT @DareGlintstone: Thank you APC. There won't be another CHANCE. 

Never Again. Only PDP can #RecoverNigeria

VOTE PDP, for a debt free Ni…",2023-01-06 23:24:09+00:00,0,,,,Nigeria,#RecoverNigeria
Demchille,RT @royaltyuso: H.E. Atiku has always been at the forefront of talent hunting and supporting great talents to achieve even more heights. #R…,2023-01-06 23:15:57+00:00,0,,,,"Jos, Nigeria",#RecoverNigeria
Chief__Adam,RT @JPenshior: A revolution started in Kebbi State today with The #BalaParisInKebbi visit to kickstart the #RecoverNigeria process of the #…,2023-01-06 23:09:38+00:00,0,,,,"Federal Capital Territory, Nig",#RecoverNigeria
