user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc,sentiment
EmmySantinho,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:58:38+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
Deen_______Yaro,"rt @chief__adam: “ i want to publicly thank your excellency, atiku abubakar, because without that journey and helping my destiny, i actuall…",2023-01-06 23:57:52+00:00,0,,,,Farakwai,Atiku abubakar,False,unknown,atiku_pdp,"rt @user “ i want to publicly thank your excellency, atiku abubakar, because without that journey and helping my destiny, i actuall…",Positive
PeterChimaobi2,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:57:02+00:00,0,,,,"Limerick, Ireland",Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
jayson_eyeballs,"rt @triplenetmedia: *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",2023-01-06 23:56:51+00:00,0,,,,Hogwarts ,Atiku abubakar,False,unknown,atiku_pdp,"rt @user *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",Neutral
PolitrackNg,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:55:03+00:00,0,,,,🇬🇧🇳🇬,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
oba_jaiye,"rt @ajenepeter: all the atikulated family u can dm me for sponsorship come one come all.

atiku abubakar the name that supercede north sout…",2023-01-06 23:53:54+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user all the atikulated family u can dm me for sponsorship come one come all.

atiku abubakar the name that supercede north sout…",Neutral
donsmart_Ogamba,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:52:37+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
countrybouy1,"rt @arewalady01: breaking news!
this is how inec will announce the february election results🇳🇬
1, @peterobi of lp ++ 20,872,249 votes
2, bo…",2023-01-06 23:51:19+00:00,0,,,,"Abuja, Nigeria",Atiku abubakar,True,abuja,obi_labour,"rt @user breaking news!
this is how inec will announce the february election results🇳🇬
1, @user of lp ++ 20,872,249 votes
2, bo…",Neutral
sire_gabriel,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:50:12+00:00,0,,,,"London, England",Atiku abubakar,False,london,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
iamAlfredevans7,"rt @tybabatunde: what we saw in oyo state yesterday is a vote of confidence on our incoming president,  atiku abubakar. the people made it…",2023-01-06 23:49:44+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"rt @user what we saw in oyo state yesterday is a vote of confidence on our incoming president,  atiku abubakar. the people made it…",Positive
Deen_______Yaro,"rt @wachorz: atiku is coming...

if you don't like atiku abubakar for other reasons, just say so, but stop hiding behind competence and sui…",2023-01-06 23:48:36+00:00,0,,,,Farakwai,Atiku abubakar,False,unknown,atiku_pdp,"rt @user atiku is coming...

if you don't like atiku abubakar for other reasons, just say so, but stop hiding behind competence and sui…",Neutral
FikayomiAkinde1,"rt @triplenetmedia: *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",2023-01-06 23:46:48+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"rt @user *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",Neutral
ilumen88,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:46:46+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
Manushahrukh1,"rt @rasheethe: excellent testimony of the international influence that atiku abubakar commands. for an atiku, as a private citizen of niger…",2023-01-06 23:45:40+00:00,0,,,,"Nigeria, kaduna",Atiku abubakar,True,unknown,atiku_pdp,"rt @user excellent testimony of the international influence that atiku abubakar commands. for an atiku, as a private citizen of niger…",Neutral
atiku_diaspora,"rt @frankekechukwu: atiku abubakar! together we stand divided we fall, one nation one future!! https://t.co/fzet8r6rub",2023-01-06 23:43:25+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"rt @user atiku abubakar! together we stand divided we fall, one nation one future!! http",Neutral
MahmudA76550916,"@atiku @officialpdpnig 1. what i believe to some people is lack of confidence and mind focused i can vote for atiku abubakar just because he is one of the political lead that established a university in the country,he invest table water faro that every nigerians use especially the travelers.",2023-01-06 23:43:05+00:00,0,,,,"Rigasa, Kaduna Nigeria ",Atiku abubakar,True,unknown,atiku_pdp,"@user @user 1. what i believe to some people is lack of confidence and mind focused i can vote for atiku abubakar just because he is one of the political lead that established a university in the country,he invest table water faro that every nigerians use especially the travelers.",Neutral
AloSenator,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:40:59+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
BasharA38193472,"@atiku @officialpdpnig i am confident, &amp; it's oredy with you, and you are my choice, go ahead my next president of the federal republic of nigeria.
sin by wadatau madawakin gusau media, for atiku abubakar &amp; okowa 2023 insha allah",2023-01-06 23:40:30+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"@user @user i am confident, &amp; it's oredy with you, and you are my choice, go ahead my next president of the federal republic of nigeria.
sin by wadatau madawakin gusau media, for atiku abubakar &amp; okowa 2023 insha allah",Positive
ChampionsofDem1,"rt @frankekechukwu: atiku abubakar! together we stand divided we fall, one nation one future!! https://t.co/fzet8r6rub",2023-01-06 23:40:14+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"rt @user atiku abubakar! together we stand divided we fall, one nation one future!! http",Neutral
robinson_osas,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:39:35+00:00,0,,,,"Surulere, Lagos ",Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
Modibbo_sabiu,"rt @triplenetmedia: *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",2023-01-06 23:39:00+00:00,0,,,,Ukraine,Atiku abubakar,False,unknown,atiku_pdp,"rt @user *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",Neutral
LawalSany,"rt @atiku: i felicitate the founder and chancellor of maryam abacha american university kano, prof abubakar gwarzo, who turns 44 today. htt…",2023-01-06 23:38:42+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"rt @user i felicitate the founder and chancellor of maryam abacha american university kano, prof abubakar gwarzo, who turns 44 today. htt…",Positive
AkinbodePeterA1,"rt @wachorz: atiku is coming...

if you don't like atiku abubakar for other reasons, just say so, but stop hiding behind competence and sui…",2023-01-06 23:37:10+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"rt @user atiku is coming...

if you don't like atiku abubakar for other reasons, just say so, but stop hiding behind competence and sui…",Neutral
unityHQ1,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:36:29+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
InvesyCapital,"rt @ajenepeter: all the atikulated family u can dm me for sponsorship come one come all.

atiku abubakar the name that supercede north sout…",2023-01-06 23:35:35+00:00,0,,,,"Pune, India",Atiku abubakar,False,unknown,obi_labour,"rt @user all the atikulated family u can dm me for sponsorship come one come all.

atiku abubakar the name that supercede north sout…",Neutral
onyilacreme,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:35:03+00:00,0,,,,Nigeria,Atiku abubakar,True,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
Mzwayne007,"rt @triplenetmedia: *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",2023-01-06 23:34:51+00:00,0,,,,"Port Harcourt, Nigeria",Atiku abubakar,True,rivers,atiku_pdp,"rt @user *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",Neutral
Tundeafor,"rt @stfreakingkezy: 1. give me 2 reasons why asiwaju bola ahmed tinubu shouldn not president. 

2. give me 2 reasons why alhaji atiku abuba…",2023-01-06 23:34:16+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"rt @user 1. give me 2 reasons why asiwaju bola ahmed tinubu shouldn not president. 

2. give me 2 reasons why alhaji atiku abuba…",Neutral
Muuaazuu,rt @ait_online: every region in nigeria can find themselves in atiku abubakar - kola ologbodiyan #democracytoday https://t.co/xoummzlk46,2023-01-06 23:34:06+00:00,0,,,,"Yobe, Nigeria",Atiku abubakar,True,yobe,atiku_pdp,rt @user every region in nigeria can find themselves in atiku abubakar - kola ologbodiyan #democracytoday http,Neutral
aniamalu_ebuka,"rt @arewalady01: breaking news!
this is how inec will announce the february election results🇳🇬
1, @peterobi of lp ++ 20,872,249 votes
2, bo…",2023-01-06 23:32:31+00:00,0,,,,"Lagos, Nigeria",Atiku abubakar,True,lagos,obi_labour,"rt @user breaking news!
this is how inec will announce the february election results🇳🇬
1, @user of lp ++ 20,872,249 votes
2, bo…",Neutral
Official_ABM_1,"rt @yola_twitta: adamawa state✅
gombe✅
bauchi✅
taraba✅
yobe✅
kano✅
kaduna✅
katsina✅
delta✅
edo✅
abuja ✅
sokoto✅

this states are states tha…",2023-01-06 23:30:18+00:00,0,,,,"Jimeta North-East, Nigeria",Atiku abubakar,True,unknown,,"rt @user adamawa state✅
gombe✅
bauchi✅
taraba✅
yobe✅
kano✅
kaduna✅
katsina✅
delta✅
edo✅
abuja ✅
sokoto✅

this states are states tha…",Neutral
juyi7,"#atikuokowa2023  for a selfless act of sponsoring a bill in 2003 by mrs titi atiku abubakar,the vap law and childs rights act was passed, #naptip is in existence protecting so many women and children. https://t.co/epe22u9jd6",2023-01-06 23:26:13+00:00,1,,,,nigeria,Atiku abubakar,True,unknown,atiku_pdp,"#atikuokowa2023  for a selfless act of sponsoring a bill in 2003 by mrs titi atiku abubakar,the vap law and childs rights act was passed, #naptip is in existence protecting so many women and children. http",Neutral
chukwumaazodo,"peter obi ran for the office of vice president under atiku abubakar and the pdp in 2019. was it divine providence that they lost the election? what was the plan if they had won? was he going to be another osinbanjo (quiet and weary of conflict) or outspoken?

just wondering.",2023-01-06 23:25:21+00:00,20,,,,"Lagos, Nigeria",Atiku abubakar,True,lagos,obi_labour,"peter obi ran for the office of vice president under atiku abubakar and the pdp in 2019. was it divine providence that they lost the election? what was the plan if they had won? was he going to be another osinbanjo (quiet and weary of conflict) or outspoken?

just wondering.",Neutral
ezeh_john21,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:24:24+00:00,0,,,,Nigeria,Atiku abubakar,True,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
Sotayoseun,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:23:59+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
Lovelyhope201,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:21:42+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
1st_Chidi,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:21:41+00:00,0,,,,university of Nigeria,Atiku abubakar,True,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
TheKwaraVoice,"rt @tambuwalkawai: four gubernatorial aspirants of the apc in sokoto decamped to the @officialpdpnig,tambuwal is doing the lord’s work for…",2023-01-06 23:21:00+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,rt @user four gubernatorial aspirants of the apc in sokoto decamped to the @user is doing the lord’s work for…,Neutral
kenedavies,"rt @triplenetmedia: *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",2023-01-06 23:20:05+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"rt @user *senator abubakar atiku bagudu, con, governor kebbi state celebrates son who graduated with a first class, at the 17th…",Neutral
Ibramdauda,"rt @arewalady01: breaking news!
this is how inec will announce the february election results🇳🇬
1, @peterobi of lp ++ 20,872,249 votes
2, bo…",2023-01-06 23:19:29+00:00,0,,,,"Hamburg, Germany",Atiku abubakar,False,unknown,obi_labour,"rt @user breaking news!
this is how inec will announce the february election results🇳🇬
1, @user of lp ++ 20,872,249 votes
2, bo…",Neutral
PolyHQAlerts,"🔔 new market: will atiku abubakar be elected as president of nigeria in the upcoming 2023 presidential election?
https://t.co/xavudmnnep",2023-01-06 23:18:47+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"🔔 new market: will atiku abubakar be elected as president of nigeria in the upcoming 2023 presidential election?
https://t.co/xavudmnnep",Neutral
Aloma_1,"rt @arewalady01: breaking news!
this is how inec will announce the february election results🇳🇬
1, @peterobi of lp ++ 20,872,249 votes
2, bo…",2023-01-06 23:18:06+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user breaking news!
this is how inec will announce the february election results🇳🇬
1, @user of lp ++ 20,872,249 votes
2, bo…",Neutral
Abdull_leader,"rt @rasheethe: excellent testimony of the international influence that atiku abubakar commands. for an atiku, as a private citizen of niger…",2023-01-06 23:17:23+00:00,0,,,,✈️✈️ ,Atiku abubakar,False,unknown,atiku_pdp,"rt @user excellent testimony of the international influence that atiku abubakar commands. for an atiku, as a private citizen of niger…",Neutral
talk2santax,"rt @dokunojomo: north west
peter obi — 2%
atiku — 38%
bat — 30%

north central 
peter obi — 10%
atiku — 55%
bat — 30%

note, permutation ab…",2023-01-06 23:15:13+00:00,0,,,,"Abuja, Nigeria",Atiku abubakar,True,abuja,obi_labour,"rt @user north west
peter obi — 2%
atiku — 38%
bat — 30%

north central 
peter obi — 10%
atiku — 55%
bat — 30%

note, permutation ab…",Neutral
holaroluwar,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:14:35+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
i_adibemma,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:14:24+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
Chief__Adam,"rt @officialpdpnig: feb. polls: pdp salutes oyo people over overwhelming support for atiku abubakar

the @officialpdpnig salutes the commit…",2023-01-06 23:13:08+00:00,0,,,,"Federal Capital Territory, Nig",Atiku abubakar,False,abuja,atiku_pdp,"rt @user feb. polls: pdp salutes oyo people over overwhelming support for atiku abubakar

the @user salutes the commit…",Positive
Aondoakaajege,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:13:05+00:00,0,,,,"Abuja, Nigeria",Atiku abubakar,True,abuja,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
FranklinOjakov1,"rt @dokunojomo: 2023 presidential election permutation.

1. atiku abubakar - 17.6 million
2. bola tinubu - 13.3 million
3. peter obi - 8.7…",2023-01-06 23:12:54+00:00,0,,,,"Delta, Nigeria",Atiku abubakar,True,delta,obi_labour,"rt @user 2023 presidential election permutation.

1. atiku abubakar - 17.6 million
2. bola tinubu - 13.3 million
3. peter obi - 8.7…",Neutral
dammyjay,"rt @arewalady01: breaking news!
this is how inec will announce the february election results🇳🇬
1, @peterobi of lp ++ 20,872,249 votes
2, bo…",2023-01-06 23:12:10+00:00,0,,,,Manitoba Canada,Atiku abubakar,False,unknown,obi_labour,"rt @user breaking news!
this is how inec will announce the february election results🇳🇬
1, @user of lp ++ 20,872,249 votes
2, bo…",Neutral
OguzieJ,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:12:01+00:00,0,,,,Nearer to you ,Atiku abubakar,False,oyo,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
Haskee001,"rt @observer_kay: january 6, 2023

press statement 

feb. polls: pdp salutes oyo people over overwhelming support for atiku abubakar

the p…",2023-01-06 23:11:01+00:00,0,,,,"Cotonuo,Dakar,Lome,Lagos,Abuja",Atiku abubakar,False,unknown,atiku_pdp,"rt @user january 6, 2023

press statement 

feb. polls: pdp salutes oyo people over overwhelming support for atiku abubakar

the p…",Positive
AngodiClement,"@atiku @officialpdpnig abubakar atiku will win instantly g-5 governors support pdp, even the prodigal son returned, beg them, stoop to conquer, otherwise no show.without g-5, your victory is like a carmel passing through the eye of a needle.may god bless you sir.",2023-01-06 23:10:32+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,"@user @user abubakar atiku will win instantly g-5 governors support pdp, even the prodigal son returned, beg them, stoop to conquer, otherwise no show.without g-5, your victory is like a carmel passing through the eye of a needle.may god bless you sir.",Positive
xenza00232716,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:09:27+00:00,0,,,,"Lagos, Nigeria",Atiku abubakar,True,lagos,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
AbdulwahabIsaw1,"rt @tambuwalkawai: four gubernatorial aspirants of the apc in sokoto decamped to the @officialpdpnig,tambuwal is doing the lord’s work for…",2023-01-06 23:08:55+00:00,0,,,,,Atiku abubakar,False,unknown,atiku_pdp,rt @user four gubernatorial aspirants of the apc in sokoto decamped to the @user is doing the lord’s work for…,Neutral
miraclmichael92,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:08:49+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
SamyIce_ace,"rt @nonsoobidi: daniel bwala, @bwaladaniel was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",2023-01-06 23:07:49+00:00,0,,,,,Atiku abubakar,False,unknown,obi_labour,"rt @user daniel bwala, @user was in arise tv show this morning. 
mentioned atiku abubakar once
mentioned tinubu thrice
mentio…",Neutral
PapaObserver,"rt @arewalady01: breaking news!
this is how inec will announce the february election results🇳🇬
1, @peterobi of lp ++ 20,872,249 votes
2, bo…",2023-01-06 23:07:13+00:00,0,,,,Nigeria,Atiku abubakar,True,unknown,obi_labour,"rt @user breaking news!
this is how inec will announce the february election results🇳🇬
1, @user of lp ++ 20,872,249 votes
2, bo…",Neutral
mahmoodbasheer3,"rt @wachorz: atiku is not desperate - he just knows he can solve our never-ending challenges

there is someone called peter. this is a mess…",2023-01-06 23:06:53+00:00,0,,,,Bauchi,Atiku abubakar,False,bauchi,obi_labour,"rt @user atiku is not desperate - he just knows he can solve our never-ending challenges

there is someone called peter. this is a mess…",Neutral
