user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc,sentiment
phychem11,"rt @shibaking11: bola ahmed tinubu, a former drug lord, is running for president of nigeria. jagaban is a drug lord https://t.co/9d5dxhyzgz",2023-01-06 23:59:17+00:00,0,,,,"Ado Ekiti, Nigeria",bola tinubu,True,ekiti,tinubu_apc,"rt @user bola ahmed tinubu, a former drug lord, is running for president of nigeria. jagaban is a drug lord http",Neutral
SubzeroNft,"rt @orjiokosis: 2023 first lamba - message for yahoo yahoo boys from bola ahmed tinubu 😭

i no understand the language, do you? https://t.c…",2023-01-06 23:58:56+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user 2023 first lamba - message for yahoo yahoo boys from bola ahmed tinubu 😭

i no understand the language, do you? http",Negative
Quayex,"rt @yeribabaa: nigeria youth are with asiwaju bola ahmed tinubu

#tinubumeetsyouths https://t.co/w2honyp9me",2023-01-06 23:58:46+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user nigeria youth are with asiwaju bola ahmed tinubu

#tinubumeetsyouths http",Neutral
donsmart_Ogamba,rt @ikukuomac: good afternoon my elder brother @ebuka i hope you are going to consider suing bola amoda escobat tinubu for stealing and edi…,2023-01-06 23:58:29+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,rt @user good afternoon my elder brother @user i hope you are going to consider suing bola amoda escobat tinubu for stealing and edi…,Neutral
Quayex,"rt @oosha_omobadan: lol, people are unfollowing me because of my last tweet, well i do not care one bit, and secondly, i unapologetically s…",2023-01-06 23:58:27+00:00,0,,,,,bola tinubu,False,unknown,,"rt @user lol, people are unfollowing me because of my last tweet, well i do not care one bit, and secondly, i unapologetically s…",Negative
stevetom788,"rt @vanguardngrnews: “asiwaju bola ahmed tinubu, produced another comedy skit at the apc presidential rally in benin city on thursday when…",2023-01-06 23:58:02+00:00,0,,,,🇳🇬✈️🇺🇸,bola tinubu,False,unknown,tinubu_apc,"rt @user “asiwaju bola ahmed tinubu, produced another comedy skit at the apc presidential rally in benin city on thursday when…",Neutral
_KingZaza,rt @ikukuomac: good afternoon my elder brother @ebuka i hope you are going to consider suing bola amoda escobat tinubu for stealing and edi…,2023-01-06 23:57:54+00:00,0,,,,Somewhere,bola tinubu,False,unknown,tinubu_apc,rt @user good afternoon my elder brother @user i hope you are going to consider suing bola amoda escobat tinubu for stealing and edi…,Neutral
omosuyitosin,"rt @truthfully83: bola ahmed tinubu selfish ambition for 2023, is the main reason why he wanted @akinwunmiambode out of lagos government. ""…",2023-01-06 23:57:17+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user bola ahmed tinubu selfish ambition for 2023, is the main reason why he wanted @user out of lagos government. ""…",Neutral
PolitrackNg,"rt @mazigomez_: bola tinubu did not only steal ebuka’s picture, he even stole his wedding ring 😂😂

shameless thief",2023-01-06 23:57:12+00:00,0,,,,🇬🇧🇳🇬,bola tinubu,False,unknown,tinubu_apc,"rt @user bola tinubu did not only steal ebuka’s picture, he even stole his wedding ring 😂😂

shameless thief",Negative
drexofabuja,"rt @realolaudah: rufai oseni and reuben abati of arise tv put to bed bola tinubu's empty rantings in edo in this indepth analysis. 
please…",2023-01-06 23:56:16+00:00,0,,,,planet earth 🌎,bola tinubu,False,unknown,tinubu_apc,"rt @user rufai oseni and reuben abati of arise tv put to bed bola tinubu's empty rantings in edo in this indepth analysis. 
please…",Neutral
Idjjosiah,"@officialabat  stole ebuka's image .

nawa o for this fake man.

from #donaldduke to @ebuka 

what is real about bola ahmed tinubu the bat?

no class mates
no certificate
just stealing people's images

please vote wisely 🇳🇬 https://t.co/2a4x2qhqaz",2023-01-06 23:56:00+00:00,1,,,,IBAFIO Nation,bola tinubu,False,unknown,tinubu_apc,"@user  stole ebuka's image .

nawa o for this fake man.

from #donaldduke to @user 

what is real about bola ahmed tinubu the bat?

no class mates
no certificate
just stealing people's images

please vote wisely 🇳🇬 http",Negative
SUNKANMIAKAMO,"bola tinubu is an individual that ought to be studied..
y'all know this, but your hypocritic mind won't allow you to look on the bright side.",2023-01-06 23:55:54+00:00,1,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"bola tinubu is an individual that ought to be studied..
y'all know this, but your hypocritic mind won't allow you to look on the bright side.",Negative
oduntutu,"rt @shibaking11: bola ahmed tinubu, a former drug lord, is running for president of nigeria. jagaban is a drug lord https://t.co/9d5dxhyzgz",2023-01-06 23:55:53+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user bola ahmed tinubu, a former drug lord, is running for president of nigeria. jagaban is a drug lord http",Neutral
CRYPTOkiree,"rt @mazigomez_: bola tinubu did not only steal ebuka’s picture, he even stole his wedding ring 😂😂

shameless thief",2023-01-06 23:53:59+00:00,0,,,,"Tech, money",bola tinubu,False,unknown,tinubu_apc,"rt @user bola tinubu did not only steal ebuka’s picture, he even stole his wedding ring 😂😂

shameless thief",Negative
JamesLekwauwa,"rt @mazigomez_: bola tinubu did not only steal ebuka’s picture, he even stole his wedding ring 😂😂

shameless thief",2023-01-06 23:53:58+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user bola tinubu did not only steal ebuka’s picture, he even stole his wedding ring 😂😂

shameless thief",Negative
bayoolukolade,"rt @apcprescc2022: in revised campaign time-table of the apc, president buhari shows further personal commitment to the campaign of asiwaju…",2023-01-06 23:53:58+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user in revised campaign time-table of the apc, president buhari shows further personal commitment to the campaign of asiwaju…",Neutral
iamdamified,"rt @oosha_omobadan: lol, people are unfollowing me because of my last tweet, well i do not care one bit, and secondly, i unapologetically s…",2023-01-06 23:53:50+00:00,0,,,,,bola tinubu,False,unknown,,"rt @user lol, people are unfollowing me because of my last tweet, well i do not care one bit, and secondly, i unapologetically s…",Negative
PaulOni18,"@ayodelekevin1 @officialabat peter obi has already won as president of the social media but my dear akotileta, our darling star asiwaju bola ahmed tinubu will be the president and commander-in-chief of the federal republic of nigeria before your very eyes &amp; i'll be back here to remind you. https://t.co/jaych5nm59",2023-01-06 23:53:49+00:00,1,,,,"Ogun, Nigeria",bola tinubu,True,ogun,obi_labour,"@user @user peter obi has already won as president of the social media but my dear akotileta, our darling star asiwaju bola ahmed tinubu will be the president and commander-in-chief of the federal republic of nigeria before your very eyes &amp; i'll be back here to remind you. http",Positive
JideTairu,"rt @t_akinpade: bola ahmed tinubu is losing it, and he's running mad.
""whom the gods would destroy, they first make mad"" https://t.co/gxygp…",2023-01-06 23:53:40+00:00,0,,,,Nigeria,bola tinubu,True,unknown,tinubu_apc,"rt @user bola ahmed tinubu is losing it, and he's running mad.
""whom the gods would destroy, they first make mad"" http",Negative
